location,zone,aisle,side,bay,level,x,y,direction
R01-L10-2,pallet reserve,R01,L,10,2,26,145.5,
R01-L10-3,pallet reserve,R01,L,10,3,26,145.5,
R01-L10-4,pallet reserve,R01,L,10,4,26,145.5,
R01-R1-1,pallet reserve,R01,R,1,1,41,64.5,
R01-R1-2,pallet reserve,R01,R,1,2,41,64.5,
R01-R1-3,pallet reserve,R01,R,1,3,41,64.5,
R01-R1-4,pallet reserve,R01,R,1,4,41,64.5,
R01-R2-1,pallet reserve,R01,R,2,1,41,73.5,
R01-R2-2,pallet reserve,R01,R,2,2,41,73.5,
R01-R2-3,pallet reserve,R01,R,2,3,41,73.5,
R01-R2-4,pallet reserve,R01,R,2,4,41,73.5,
R01-R3-1,pallet reserve,R01,R,3,1,41,82.5,
R01-R3-2,pallet reserve,R01,R,3,2,41,82.5,
R01-R3-3,pallet reserve,R01,R,3,3,41,82.5,
R01-R3-4,pallet reserve,R01,R,3,4,41,82.5,
R01-R4-1,pallet reserve,R01,R,4,1,41,91.5,
R01-R4-2,pallet reserve,R01,R,4,2,41,91.5,
R01-R4-3,pallet reserve,R01,R,4,3,41,91.5,
R01-R4-4,pallet reserve,R01,R,4,4,41,91.5,
R01-R5-1,pallet reserve,R01,R,5,1,41,100.5,
R01-R5-2,pallet reserve,R01,R,5,2,41,100.5,
R01-R5-3,pallet reserve,R01,R,5,3,41,100.5,
R01-R5-4,pallet reserve,R01,R,5,4,41,100.5,
R01-R6-1,pallet reserve,R01,R,6,1,41,109.5,
R01-R6-2,pallet reserve,R01,R,6,2,41,109.5,
R01-R6-3,pallet reserve,R01,R,6,3,41,109.5,
R01-R6-4,pallet reserve,R01,R,6,4,41,109.5,
R01-R7-1,pallet reserve,R01,R,7,1,41,118.5,
R01-R7-2,pallet reserve,R01,R,7,2,41,118.5,
R01-R7-3,pallet reserve,R01,R,7,3,41,118.5,
R01-R7-4,pallet reserve,R01,R,7,4,41,118.5,
R01-R8-1,pallet reserve,R01,R,8,1,41,127.5,
R01-R8-2,pallet reserve,R01,R,8,2,41,127.5,
R01-R8-3,pallet reserve,R01,R,8,3,41,127.5,
R01-R8-4,pallet reserve,R01,R,8,4,41,127.5,
R01-R9-1,pallet reserve,R01,R,9,1,41,136.5,
R01-R9-2,pallet reserve,R01,R,9,2,41,136.5,
R01-R9-3,pallet reserve,R01,R,9,3,41,136.5,
R01-R9-4,pallet reserve,R01,R,9,4,41,136.5,
R01-R10-1,pallet reserve,R01,R,10,1,41,145.5,
R01-R10-2,pallet reserve,R01,R,10,2,41,145.5,
R01-R10-3,pallet reserve,R01,R,10,3,41,145.5,
R01-R10-4,pallet reserve,R01,R,10,4,41,145.5,
R02-L1-1,pallet reserve,R02,L,1,1,45,64.5,
R02-L1-2,pallet reserve,R02,L,1,2,45,64.5,
R02-L1-3,pallet reserve,R02,L,1,3,45,64.5,
R02-L1-4,pallet reserve,R02,L,1,4,45,64.5,
R02-L2-1,pallet reserve,R02,L,2,1,45,73.5,
R02-L2-2,pallet reserve,R02,L,2,2,45,73.5,
R02-L2-3,pallet reserve,R02,L,2,3,45,73.5,
R02-L2-4,pallet reserve,R02,L,2,4,45,73.5,
R02-L3-1,pallet reserve,R02,L,3,1,45,82.5,
R02-L3-2,pallet reserve,R02,L,3,2,45,82.5,
R02-L3-3,pallet reserve,R02,L,3,3,45,82.5,
R02-L3-4,pallet reserve,R02,L,3,4,45,82.5,
R02-L4-1,pallet reserve,R02,L,4,1,45,91.5,
R02-L4-2,pallet reserve,R02,L,4,2,45,91.5,
R02-L4-3,pallet reserve,R02,L,4,3,45,91.5,
R02-L4-4,pallet reserve,R02,L,4,4,45,91.5,
R02-L5-1,pallet reserve,R02,L,5,1,45,100.5,
R02-L5-2,pallet reserve,R02,L,5,2,45,100.5,
R02-L5-3,pallet reserve,R02,L,5,3,45,100.5,
R02-L5-4,pallet reserve,R02,L,5,4,45,100.5,
R02-L6-1,pallet reserve,R02,L,6,1,45,109.5,
R02-L6-2,pallet reserve,R02,L,6,2,45,109.5,
R02-L6-3,pallet reserve,R02,L,6,3,45,109.5,
R02-L6-4,pallet reserve,R02,L,6,4,45,109.5,
R02-L7-1,pallet reserve,R02,L,7,1,45,118.5,
R02-L7-2,pallet reserve,R02,L,7,2,45,118.5,
R02-L7-3,pallet reserve,R02,L,7,3,45,118.5,
R02-L7-4,pallet reserve,R02,L,7,4,45,118.5,
R02-L8-1,pallet reserve,R02,L,8,1,45,127.5,
R02-L8-2,pallet reserve,R02,L,8,2,45,127.5,
R02-L8-3,pallet reserve,R02,L,8,3,45,127.5,
R02-L8-4,pallet reserve,R02,L,8,4,45,127.5,
R02-L9-1,pallet reserve,R02,L,9,1,45,136.5,
R02-L9-2,pallet reserve,R02,L,9,2,45,136.5,
R02-L9-3,pallet reserve,R02,L,9,3,45,136.5,
R02-L9-4,pallet reserve,R02,L,9,4,45,136.5,
R02-L10-1,pallet reserve,R02,L,10,1,45,145.5,
R02-L10-2,pallet reserve,R02,L,10,2,45,145.5,
R02-L10-3,pallet reserve,R02,L,10,3,45,145.5,
R02-L10-4,pallet reserve,R02,L,10,4,45,145.5,
R02-R1-1,pallet reserve,R02,R,1,1,60,64.5,
R02-R1-2,pallet reserve,R02,R,1,2,60,64.5,
R02-R1-3,pallet reserve,R02,R,1,3,60,64.5,
R02-R1-4,pallet reserve,R02,R,1,4,60,64.5,
R02-R2-1,pallet reserve,R02,R,2,1,60,73.5,
R02-R2-2,pallet reserve,R02,R,2,2,60,73.5,
R02-R2-3,pallet reserve,R02,R,2,3,60,73.5,
R02-R2-4,pallet reserve,R02,R,2,4,60,73.5,
R02-R3-1,pallet reserve,R02,R,3,1,60,82.5,
R02-R3-2,pallet reserve,R02,R,3,2,60,82.5,
R02-R3-3,pallet reserve,R02,R,3,3,60,82.5,
R02-R3-4,pallet reserve,R02,R,3,4,60,82.5,
R02-R4-1,pallet reserve,R02,R,4,1,60,91.5,
R02-R4-2,pallet reserve,R02,R,4,2,60,91.5,
R02-R4-3,pallet reserve,R02,R,4,3,60,91.5,
R02-R4-4,pallet reserve,R02,R,4,4,60,91.5,
R02-R5-1,pallet reserve,R02,R,5,1,60,100.5,
R02-R5-2,pallet reserve,R02,R,5,2,60,100.5,
R02-R5-3,pallet reserve,R02,R,5,3,60,100.5,
R02-R5-4,pallet reserve,R02,R,5,4,60,100.5,
R02-R6-1,pallet reserve,R02,R,6,1,60,109.5,
R02-R6-2,pallet reserve,R02,R,6,2,60,109.5,
R02-R6-3,pallet reserve,R02,R,6,3,60,109.5,
R02-R6-4,pallet reserve,R02,R,6,4,60,109.5,
R02-R7-1,pallet reserve,R02,R,7,1,60,118.5,
R02-R7-2,pallet reserve,R02,R,7,2,60,118.5,
R02-R7-3,pallet reserve,R02,R,7,3,60,118.5,
R02-R7-4,pallet reserve,R02,R,7,4,60,118.5,
R02-R8-1,pallet reserve,R02,R,8,1,60,127.5,
R02-R8-2,pallet reserve,R02,R,8,2,60,127.5,
R02-R8-3,pallet reserve,R02,R,8,3,60,127.5,
R02-R8-4,pallet reserve,R02,R,8,4,60,127.5,
R02-R9-1,pallet reserve,R02,R,9,1,60,136.5,
R02-R9-2,pallet reserve,R02,R,9,2,60,136.5,
R02-R9-3,pallet reserve,R02,R,9,3,60,136.5,
R02-R9-4,pallet reserve,R02,R,9,4,60,136.5,
R02-R10-1,pallet reserve,R02,R,10,1,60,145.5,
R02-R10-2,pallet reserve,R02,R,10,2,60,145.5,
R02-R10-3,pallet reserve,R02,R,10,3,60,145.5,
R02-R10-4,pallet reserve,R02,R,10,4,60,145.5,
R03-L1-1,pallet reserve,R03,L,1,1,64,64.5,
R03-L1-2,pallet reserve,R03,L,1,2,64,64.5,
R03-L1-3,pallet reserve,R03,L,1,3,64,64.5,
R03-L1-4,pallet reserve,R03,L,1,4,64,64.5,
R03-L2-1,pallet reserve,R03,L,2,1,64,73.5,
R03-L2-2,pallet reserve,R03,L,2,2,64,73.5,
R03-L2-3,pallet reserve,R03,L,2,3,64,73.5,
R03-L2-4,pallet reserve,R03,L,2,4,64,73.5,
R03-L3-1,pallet reserve,R03,L,3,1,64,82.5,
R03-L3-2,pallet reserve,R03,L,3,2,64,82.5,
R03-L3-3,pallet reserve,R03,L,3,3,64,82.5,
R03-L3-4,pallet reserve,R03,L,3,4,64,82.5,
R03-L4-1,pallet reserve,R03,L,4,1,64,91.5,
R03-L4-2,pallet reserve,R03,L,4,2,64,91.5,
R03-L4-3,pallet reserve,R03,L,4,3,64,91.5,
R03-L4-4,pallet reserve,R03,L,4,4,64,91.5,
R03-L5-1,pallet reserve,R03,L,5,1,64,100.5,
R03-L5-2,pallet reserve,R03,L,5,2,64,100.5,
R03-L5-3,pallet reserve,R03,L,5,3,64,100.5,
R03-L5-4,pallet reserve,R03,L,5,4,64,100.5,
R03-L6-1,pallet reserve,R03,L,6,1,64,109.5,
R03-L6-2,pallet reserve,R03,L,6,2,64,109.5,
R03-L6-3,pallet reserve,R03,L,6,3,64,109.5,
R03-L6-4,pallet reserve,R03,L,6,4,64,109.5,
R03-L7-1,pallet reserve,R03,L,7,1,64,118.5,
R03-L7-2,pallet reserve,R03,L,7,2,64,118.5,
R03-L7-3,pallet reserve,R03,L,7,3,64,118.5,
R03-L7-4,pallet reserve,R03,L,7,4,64,118.5,
R03-L8-1,pallet reserve,R03,L,8,1,64,127.5,
R03-L8-2,pallet reserve,R03,L,8,2,64,127.5,
R03-L8-3,pallet reserve,R03,L,8,3,64,127.5,
R03-L8-4,pallet reserve,R03,L,8,4,64,127.5,
R03-L9-1,pallet reserve,R03,L,9,1,64,136.5,
R03-L9-2,pallet reserve,R03,L,9,2,64,136.5,
R03-L9-3,pallet reserve,R03,L,9,3,64,136.5,
R03-L9-4,pallet reserve,R03,L,9,4,64,136.5,
R03-L10-1,pallet reserve,R03,L,10,1,64,145.5,
R03-L10-2,pallet reserve,R03,L,10,2,64,145.5,
R03-L10-3,pallet reserve,R03,L,10,3,64,145.5,
R03-L10-4,pallet reserve,R03,L,10,4,64,145.5,
R03-R1-1,pallet reserve,R03,R,1,1,79,64.5,
R03-R1-2,pallet reserve,R03,R,1,2,79,64.5,
R03-R1-3,pallet reserve,R03,R,1,3,79,64.5,
R03-R1-4,pallet reserve,R03,R,1,4,79,64.5,
R03-R2-1,pallet reserve,R03,R,2,1,79,73.5,
R03-R2-2,pallet reserve,R03,R,2,2,79,73.5,
R03-R2-3,pallet reserve,R03,R,2,3,79,73.5,
R03-R2-4,pallet reserve,R03,R,2,4,79,73.5,
R03-R3-1,pallet reserve,R03,R,3,1,79,82.5,
R03-R3-2,pallet reserve,R03,R,3,2,79,82.5,
R03-R3-3,pallet reserve,R03,R,3,3,79,82.5,
R03-R3-4,pallet reserve,R03,R,3,4,79,82.5,
R03-R4-1,pallet reserve,R03,R,4,1,79,91.5,
R03-R4-2,pallet reserve,R03,R,4,2,79,91.5,
R03-R4-3,pallet reserve,R03,R,4,3,79,91.5,
R03-R4-4,pallet reserve,R03,R,4,4,79,91.5,
R03-R5-1,pallet reserve,R03,R,5,1,79,100.5,
R03-R5-2,pallet reserve,R03,R,5,2,79,100.5,
R03-R5-3,pallet reserve,R03,R,5,3,79,100.5,
R03-R5-4,pallet reserve,R03,R,5,4,79,100.5,
R03-R6-1,pallet reserve,R03,R,6,1,79,109.5,
R03-R6-2,pallet reserve,R03,R,6,2,79,109.5,
R03-R6-3,pallet reserve,R03,R,6,3,79,109.5,
R03-R6-4,pallet reserve,R03,R,6,4,79,109.5,
R03-R7-1,pallet reserve,R03,R,7,1,79,118.5,
R03-R7-2,pallet reserve,R03,R,7,2,79,118.5,
R03-R7-3,pallet reserve,R03,R,7,3,79,118.5,
R03-R7-4,pallet reserve,R03,R,7,4,79,118.5,
R03-R8-1,pallet reserve,R03,R,8,1,79,127.5,
R03-R8-2,pallet reserve,R03,R,8,2,79,127.5,
R03-R8-3,pallet reserve,R03,R,8,3,79,127.5,
R03-R8-4,pallet reserve,R03,R,8,4,79,127.5,
R03-R9-1,pallet reserve,R03,R,9,1,79,136.5,
R03-R9-2,pallet reserve,R03,R,9,2,79,136.5,
R03-R9-3,pallet reserve,R03,R,9,3,79,136.5,
R03-R9-4,pallet reserve,R03,R,9,4,79,136.5,
R03-R10-1,pallet reserve,R03,R,10,1,79,145.5,
R03-R10-2,pallet reserve,R03,R,10,2,79,145.5,
R03-R10-3,pallet reserve,R03,R,10,3,79,145.5,
R03-R10-4,pallet reserve,R03,R,10,4,79,145.5,
R04-L1-1,pallet reserve,R04,L,1,1,83,64.5,
R04-L1-2,pallet reserve,R04,L,1,2,83,64.5,
R04-L1-3,pallet reserve,R04,L,1,3,83,64.5,
R04-L1-4,pallet reserve,R04,L,1,4,83,64.5,
R04-L2-1,pallet reserve,R04,L,2,1,83,73.5,
R04-L2-2,pallet reserve,R04,L,2,2,83,73.5,
R04-L2-3,pallet reserve,R04,L,2,3,83,73.5,
R04-L2-4,pallet reserve,R04,L,2,4,83,73.5,
R04-L3-1,pallet reserve,R04,L,3,1,83,82.5,
R04-L3-2,pallet reserve,R04,L,3,2,83,82.5,
R04-L3-3,pallet reserve,R04,L,3,3,83,82.5,
R04-L3-4,pallet reserve,R04,L,3,4,83,82.5,
R04-L4-1,pallet reserve,R04,L,4,1,83,91.5,
R04-L4-2,pallet reserve,R04,L,4,2,83,91.5,
R04-L4-3,pallet reserve,R04,L,4,3,83,91.5,
R04-L4-4,pallet reserve,R04,L,4,4,83,91.5,
R04-L5-1,pallet reserve,R04,L,5,1,83,100.5,
R04-L5-2,pallet reserve,R04,L,5,2,83,100.5,
R04-L5-3,pallet reserve,R04,L,5,3,83,100.5,
R04-L5-4,pallet reserve,R04,L,5,4,83,100.5,
R04-L6-1,pallet reserve,R04,L,6,1,83,109.5,
R04-L6-2,pallet reserve,R04,L,6,2,83,109.5,
R04-L6-3,pallet reserve,R04,L,6,3,83,109.5,
R04-L6-4,pallet reserve,R04,L,6,4,83,109.5,
R04-L7-1,pallet reserve,R04,L,7,1,83,118.5,
R04-L7-2,pallet reserve,R04,L,7,2,83,118.5,
R04-L7-3,pallet reserve,R04,L,7,3,83,118.5,
R04-L7-4,pallet reserve,R04,L,7,4,83,118.5,
R04-L8-1,pallet reserve,R04,L,8,1,83,127.5,
R04-L8-2,pallet reserve,R04,L,8,2,83,127.5,
R04-L8-3,pallet reserve,R04,L,8,3,83,127.5,
R04-L8-4,pallet reserve,R04,L,8,4,83,127.5,
R04-L9-1,pallet reserve,R04,L,9,1,83,136.5,
R04-L9-2,pallet reserve,R04,L,9,2,83,136.5,
R04-L9-3,pallet reserve,R04,L,9,3,83,136.5,
R04-L9-4,pallet reserve,R04,L,9,4,83,136.5,
R04-L10-1,pallet reserve,R04,L,10,1,83,145.5,
R04-L10-2,pallet reserve,R04,L,10,2,83,145.5,
R04-L10-3,pallet reserve,R04,L,10,3,83,145.5,
R04-L10-4,pallet reserve,R04,L,10,4,83,145.5,
R04-R1-1,pallet reserve,R04,R,1,1,98,64.5,
R04-R1-2,pallet reserve,R04,R,1,2,98,64.5,
R04-R1-3,pallet reserve,R04,R,1,3,98,64.5,
R04-R1-4,pallet reserve,R04,R,1,4,98,64.5,
R04-R2-1,pallet reserve,R04,R,2,1,98,73.5,
R04-R2-2,pallet reserve,R04,R,2,2,98,73.5,
R04-R2-3,pallet reserve,R04,R,2,3,98,73.5,
R04-R2-4,pallet reserve,R04,R,2,4,98,73.5,
R04-R3-1,pallet reserve,R04,R,3,1,98,82.5,
R04-R3-2,pallet reserve,R04,R,3,2,98,82.5,
R04-R3-3,pallet reserve,R04,R,3,3,98,82.5,
R04-R3-4,pallet reserve,R04,R,3,4,98,82.5,
R04-R4-1,pallet reserve,R04,R,4,1,98,91.5,
R04-R4-2,pallet reserve,R04,R,4,2,98,91.5,
R04-R4-3,pallet reserve,R04,R,4,3,98,91.5,
R04-R4-4,pallet reserve,R04,R,4,4,98,91.5,
R04-R5-1,pallet reserve,R04,R,5,1,98,100.5,
R04-R5-2,pallet reserve,R04,R,5,2,98,100.5,
R04-R5-3,pallet reserve,R04,R,5,3,98,100.5,
R04-R5-4,pallet reserve,R04,R,5,4,98,100.5,
R04-R6-1,pallet reserve,R04,R,6,1,98,109.5,
R04-R6-2,pallet reserve,R04,R,6,2,98,109.5,
R04-R6-3,pallet reserve,R04,R,6,3,98,109.5,
R04-R6-4,pallet reserve,R04,R,6,4,98,109.5,
R04-R7-1,pallet reserve,R04,R,7,1,98,118.5,
R04-R7-2,pallet reserve,R04,R,7,2,98,118.5,
R04-R7-3,pallet reserve,R04,R,7,3,98,118.5,
R04-R7-4,pallet reserve,R04,R,7,4,98,118.5,
R04-R8-1,pallet reserve,R04,R,8,1,98,127.5,
R04-R8-2,pallet reserve,R04,R,8,2,98,127.5,
R04-R8-3,pallet reserve,R04,R,8,3,98,127.5,
R04-R8-4,pallet reserve,R04,R,8,4,98,127.5,
R04-R9-1,pallet reserve,R04,R,9,1,98,136.5,
R04-R9-2,pallet reserve,R04,R,9,2,98,136.5,
R04-R9-3,pallet reserve,R04,R,9,3,98,136.5,
R04-R9-4,pallet reserve,R04,R,9,4,98,136.5,
R04-R10-1,pallet reserve,R04,R,10,1,98,145.5,
R04-R10-2,pallet reserve,R04,R,10,2,98,145.5,
R04-R10-3,pallet reserve,R04,R,10,3,98,145.5,
R04-R10-4,pallet reserve,R04,R,10,4,98,145.5,
P05-L1-1,forward pick,P05,L,1,1,141,64,
P05-L1-2,forward pick,P05,L,1,2,141,64,
P05-L1-3,forward pick,P05,L,1,3,141,64,
P05-L1-4,forward pick,P05,L,1,4,141,64,
P05-L2-1,forward pick,P05,L,2,1,141,72,
P05-L2-2,forward pick,P05,L,2,2,141,72,
P05-L2-3,forward pick,P05,L,2,3,141,72,
P05-L2-4,forward pick,P05,L,2,4,141,72,
P05-L3-1,forward pick,P05,L,3,1,141,80,
P05-L3-2,forward pick,P05,L,3,2,141,80,
P05-L3-3,forward pick,P05,L,3,3,141,80,
P05-L3-4,forward pick,P05,L,3,4,141,80,
P05-L4-1,forward pick,P05,L,4,1,141,88,
P05-L4-2,forward pick,P05,L,4,2,141,88,
P05-L4-3,forward pick,P05,L,4,3,141,88,
P05-L4-4,forward pick,P05,L,4,4,141,88,
P05-L5-1,forward pick,P05,L,5,1,141,96,
P05-L5-2,forward pick,P05,L,5,2,141,96,
P05-L5-3,forward pick,P05,L,5,3,141,96,
P05-L5-4,forward pick,P05,L,5,4,141,96,
P05-L6-1,forward pick,P05,L,6,1,141,104,
P05-L6-2,forward pick,P05,L,6,2,141,104,
P05-L6-3,forward pick,P05,L,6,3,141,104,
P05-L6-4,forward pick,P05,L,6,4,141,104,
P05-L7-1,forward pick,P05,L,7,1,141,112,
P05-L7-2,forward pick,P05,L,7,2,141,112,
P05-L7-3,forward pick,P05,L,7,3,141,112,
P05-L7-4,forward pick,P05,L,7,4,141,112,
P05-L8-1,forward pick,P05,L,8,1,141,120,
P05-L8-2,forward pick,P05,L,8,2,141,120,
P05-L8-3,forward pick,P05,L,8,3,141,120,
P05-L8-4,forward pick,P05,L,8,4,141,120,
P05-L9-1,forward pick,P05,L,9,1,141,128,
P05-L9-2,forward pick,P05,L,9,2,141,128,
P05-L9-3,forward pick,P05,L,9,3,141,128,
P05-L9-4,forward pick,P05,L,9,4,141,128,
P05-L10-1,forward pick,P05,L,10,1,141,136,
P05-L10-2,forward pick,P05,L,10,2,141,136,
P05-L10-3,forward pick,P05,L,10,3,141,136,
P05-L10-4,forward pick,P05,L,10,4,141,136,
P05-R1-1,forward pick,P05,R,1,1,149,64,
P05-R1-2,forward pick,P05,R,1,2,149,64,
P05-R1-3,forward pick,P05,R,1,3,149,64,
P05-R1-4,forward pick,P05,R,1,4,149,64,
P05-R2-1,forward pick,P05,R,2,1,149,72,
P05-R2-2,forward pick,P05,R,2,2,149,72,
P05-R2-3,forward pick,P05,R,2,3,149,72,
P05-R2-4,forward pick,P05,R,2,4,149,72,
P05-R3-1,forward pick,P05,R,3,1,149,80,
P05-R3-2,forward pick,P05,R,3,2,149,80,
P05-R3-3,forward pick,P05,R,3,3,149,80,
P05-R3-4,forward pick,P05,R,3,4,149,80,
P05-R4-1,forward pick,P05,R,4,1,149,88,
P05-R4-2,forward pick,P05,R,4,2,149,88,
P05-R4-3,forward pick,P05,R,4,3,149,88,
P05-R4-4,forward pick,P05,R,4,4,149,88,
P05-R5-1,forward pick,P05,R,5,1,149,96,
P05-R5-2,forward pick,P05,R,5,2,149,96,
P05-R5-3,forward pick,P05,R,5,3,149,96,
P05-R5-4,forward pick,P05,R,5,4,149,96,
P05-R6-1,forward pick,P05,R,6,1,149,104,
P05-R6-2,forward pick,P05,R,6,2,149,104,
P05-R6-3,forward pick,P05,R,6,3,149,104,
P05-R6-4,forward pick,P05,R,6,4,149,104,
P05-R7-1,forward pick,P05,R,7,1,149,112,
P05-R7-2,forward pick,P05,R,7,2,149,112,
P05-R7-3,forward pick,P05,R,7,3,149,112,
P05-R7-4,forward pick,P05,R,7,4,149,112,
P05-R8-1,forward pick,P05,R,8,1,149,120,
P05-R8-2,forward pick,P05,R,8,2,149,120,
P05-R8-3,forward pick,P05,R,8,3,149,120,
P05-R8-4,forward pick,P05,R,8,4,149,120,
P05-R9-1,forward pick,P05,R,9,1,149,128,
P05-R9-2,forward pick,P05,R,9,2,149,128,
P05-R9-3,forward pick,P05,R,9,3,149,128,
P05-R9-4,forward pick,P05,R,9,4,149,128,
P05-R10-1,forward pick,P05,R,10,1,149,136,
P05-R10-2,forward pick,P05,R,10,2,149,136,
P05-R10-3,forward pick,P05,R,10,3,149,136,
P05-R10-4,forward pick,P05,R,10,4,149,136,
P06-L1-1,forward pick,P06,L,1,1,151,64,
P06-L1-2,forward pick,P06,L,1,2,151,64,
P06-L1-3,forward pick,P06,L,1,3,151,64,
P06-L1-4,forward pick,P06,L,1,4,151,64,
P06-L2-1,forward pick,P06,L,2,1,151,72,
P06-L2-2,forward pick,P06,L,2,2,151,72,
P06-L2-3,forward pick,P06,L,2,3,151,72,
P06-L2-4,forward pick,P06,L,2,4,151,72,
P06-L3-1,forward pick,P06,L,3,1,151,80,
P06-L3-2,forward pick,P06,L,3,2,151,80,
P06-L3-3,forward pick,P06,L,3,3,151,80,
P06-L3-4,forward pick,P06,L,3,4,151,80,
P06-L4-1,forward pick,P06,L,4,1,151,88,
P06-L4-2,forward pick,P06,L,4,2,151,88,
P06-L4-3,forward pick,P06,L,4,3,151,88,
P06-L4-4,forward pick,P06,L,4,4,151,88,
P06-L5-1,forward pick,P06,L,5,1,151,96,
P06-L5-2,forward pick,P06,L,5,2,151,96,
P06-L5-3,forward pick,P06,L,5,3,151,96,
P06-L5-4,forward pick,P06,L,5,4,151,96,
P06-L6-1,forward pick,P06,L,6,1,151,104,
P06-L6-2,forward pick,P06,L,6,2,151,104,
P06-L6-3,forward pick,P06,L,6,3,151,104,
P06-L6-4,forward pick,P06,L,6,4,151,104,
P06-L7-1,forward pick,P06,L,7,1,151,112,
P06-L7-2,forward pick,P06,L,7,2,151,112,
P06-L7-3,forward pick,P06,L,7,3,151,112,
P06-L7-4,forward pick,P06,L,7,4,151,112,
P06-L8-1,forward pick,P06,L,8,1,151,120,
P06-L8-2,forward pick,P06,L,8,2,151,120,
P06-L8-3,forward pick,P06,L,8,3,151,120,
P06-L8-4,forward pick,P06,L,8,4,151,120,
P06-L9-1,forward pick,P06,L,9,1,151,128,
P06-L9-2,forward pick,P06,L,9,2,151,128,
P06-L9-3,forward pick,P06,L,9,3,151,128,
P06-L9-4,forward pick,P06,L,9,4,151,128,
P06-L10-1,forward pick,P06,L,10,1,151,136,
P06-L10-2,forward pick,P06,L,10,2,151,136,
P06-L10-3,forward pick,P06,L,10,3,151,136,
P06-L10-4,forward pick,P06,L,10,4,151,136,
P06-R1-1,forward pick,P06,R,1,1,159,64,
P06-R1-2,forward pick,P06,R,1,2,159,64,
P06-R1-3,forward pick,P06,R,1,3,159,64,
P06-R1-4,forward pick,P06,R,1,4,159,64,
P06-R2-1,forward pick,P06,R,2,1,159,72,
P06-R2-2,forward pick,P06,R,2,2,159,72,
P06-R2-3,forward pick,P06,R,2,3,159,72,
P06-R2-4,forward pick,P06,R,2,4,159,72,
P06-R3-1,forward pick,P06,R,3,1,159,80,
P06-R3-2,forward pick,P06,R,3,2,159,80,
P06-R3-3,forward pick,P06,R,3,3,159,80,
P06-R3-4,forward pick,P06,R,3,4,159,80,
P06-R4-1,forward pick,P06,R,4,1,159,88,
P06-R4-2,forward pick,P06,R,4,2,159,88,
P06-R4-3,forward pick,P06,R,4,3,159,88,
P06-R4-4,forward pick,P06,R,4,4,159,88,
P06-R5-1,forward pick,P06,R,5,1,159,96,
P06-R5-2,forward pick,P06,R,5,2,159,96,
P06-R5-3,forward pick,P06,R,5,3,159,96,
P06-R5-4,forward pick,P06,R,5,4,159,96,
P06-R6-1,forward pick,P06,R,6,1,159,104,
P06-R6-2,forward pick,P06,R,6,2,159,104,
P06-R6-3,forward pick,P06,R,6,3,159,104,
P06-R6-4,forward pick,P06,R,6,4,159,104,
P06-R7-1,forward pick,P06,R,7,1,159,112,
P06-R7-2,forward pick,P06,R,7,2,159,112,
P06-R7-3,forward pick,P06,R,7,3,159,112,
P06-R7-4,forward pick,P06,R,7,4,159,112,
P06-R8-1,forward pick,P06,R,8,1,159,120,
